scale500,scale500labels,scale250,scale250labels,scale125,scale125labels,scale60,scale60labels,scale33,scale33labels
625,superiorfrontal_6,347,superiorparietal_3,232,hyppocampus,,,,
626,superiorfrontal_13,348,superiorparietal_4,233,amygdala,,,,
627,superiorfrontal_17,349,superiorparietal_5,234,brainstem,,,,
628,superiorfrontal_41,350,superiorparietal_6,,,,,,
629,caudalmiddlefrontal_9,351,superiorparietal_7,,,,,,
630,caudalmiddlefrontal_8,352,superiorparietal_8,,,,,,
631,caudalmiddlefrontal_1,353,superiorparietal_9,,,,,,
632,caudalmiddlefrontal_13,354,superiorparietal_10,,,,,,
633,caudalmiddlefrontal_5,355,superiorparietal_11,,,,,,
634,caudalmiddlefrontal_3,356,superiorparietal_12,,,,,,
635,caudalmiddlefrontal_6,357,superiorparietal_13,,,,,,
636,caudalmiddlefrontal_11,358,superiorparietal_14,,,,,,
637,caudalmiddlefrontal_4,359,inferiorparietal_1,,,,,,
638,caudalmiddlefrontal_12,360,inferiorparietal_2,,,,,,
639,caudalmiddlefrontal_7,361,inferiorparietal_3,,,,,,
640,caudalmiddlefrontal_2,362,inferiorparietal_4,,,,,,
641,caudalmiddlefrontal_10,363,inferiorparietal_5,,,,,,
642,precentral_31,364,inferiorparietal_6,,,,,,
643,precentral_30,365,inferiorparietal_7,,,,,,
644,precentral_12,366,inferiorparietal_8,,,,,,
645,precentral_17,367,inferiorparietal_9,,,,,,
646,precentral_24,368,inferiorparietal_10,,,,,,
647,precentral_33,369,precuneus_1,,,,,,
648,precentral_3,370,precuneus_2,,,,,,
649,precentral_19,371,precuneus_3,,,,,,
650,precentral_26,372,precuneus_4,,,,,,
651,precentral_21,373,precuneus_5,,,,,,
652,precentral_10,374,precuneus_6,,,,,,
653,precentral_2,375,precuneus_7,,,,,,
654,precentral_16,376,precuneus_8,,,,,,
655,precentral_35,377,precuneus_9,,,,,,
656,precentral_9,378,precuneus_10,,,,,,
657,precentral_4,379,precuneus_11,,,,,,
658,precentral_13,380,cuneus_1,,,,,,
659,precentral_14,381,cuneus_2,,,,,,
660,precentral_5,382,cuneus_3,,,,,,
661,precentral_6,383,pericalcarine_1,,,,,,
662,precentral_25,384,pericalcarine_2,,,,,,
663,precentral_27,385,pericalcarine_3,,,,,,
664,precentral_20,386,lateraloccipital_1,,,,,,
665,precentral_29,387,lateraloccipital_2,,,,,,
666,precentral_11,388,lateraloccipital_3,,,,,,
667,precentral_18,389,lateraloccipital_4,,,,,,
668,precentral_8,390,lateraloccipital_5,,,,,,
669,precentral_15,391,lateraloccipital_6,,,,,,
670,precentral_32,392,lateraloccipital_7,,,,,,
671,precentral_1,393,lateraloccipital_8,,,,,,
672,precentral_22,394,lateraloccipital_9,,,,,,
673,precentral_7,395,lateraloccipital_10,,,,,,
674,precentral_34,396,lateraloccipital_11,,,,,,
675,precentral_28,397,lingual_1,,,,,,
676,precentral_23,398,lingual_2,,,,,,
677,paracentral_7,399,lingual_3,,,,,,
678,paracentral_1,400,lingual_4,,,,,,
679,paracentral_8,401,lingual_5,,,,,,
680,paracentral_2,402,lingual_6,,,,,,
681,paracentral_10,403,lingual_7,,,,,,
682,paracentral_9,404,lingual_8,,,,,,
683,paracentral_3,405,fusiform_1,,,,,,
684,paracentral_4,406,fusiform_2,,,,,,
685,paracentral_6,407,fusiform_3,,,,,,
686,paracentral_5,408,fusiform_4,,,,,,
687,paracentral_11,409,fusiform_5,,,,,,
688,rostralanteriorcingulate_1,410,fusiform_6,,,,,,
689,rostralanteriorcingulate_4,411,fusiform_7,,,,,,
690,rostralanteriorcingulate_3,412,fusiform_8,,,,,,
691,rostralanteriorcingulate_2,413,parahippocampal_1,,,,,,
692,rostralanteriorcingulate_5,414,parahippocampal_2,,,,,,
693,caudalanteriorcingulate_5,415,parahippocampal_3,,,,,,
694,caudalanteriorcingulate_4,416,entorhinal_1,,,,,,
695,caudalanteriorcingulate_1,417,temporalpole_1,,,,,,
696,caudalanteriorcingulate_2,418,inferiortemporal_1,,,,,,
697,caudalanteriorcingulate_3,419,inferiortemporal_2,,,,,,
698,posteriorcingulate_5,420,inferiortemporal_3,,,,,,
699,posteriorcingulate_4,421,inferiortemporal_4,,,,,,
700,posteriorcingulate_8,422,inferiortemporal_5,,,,,,
701,posteriorcingulate_2,423,inferiortemporal_6,,,,,,
702,posteriorcingulate_3,424,inferiortemporal_7,,,,,,
703,posteriorcingulate_6,425,inferiortemporal_8,,,,,,
704,posteriorcingulate_9,426,middletemporal_1,,,,,,
705,posteriorcingulate_7,427,middletemporal_2,,,,,,
706,posteriorcingulate_1,428,middletemporal_3,,,,,,
707,Isthmuscingulate_5,429,middletemporal_4,,,,,,
708,isthmuscingulate_6,430,middletemporal_5,,,,,,
709,isthmuscingulate_7,431,middletemporal_6,,,,,,
710,isthmuscingulate_1,432,middletemporal_7,,,,,,
711,isthmuscingulate_4,433,bankssts_1,,,,,,
712,isthmuscingulate_2,434,bankssts_2,,,,,,
713,isthmuscingulate_3,435,bankssts_3,,,,,,
714,postcentral_6,436,superiortemporal_1,,,,,,
715,postcentral_23,437,superiortemporal_2,,,,,,
716,postcentral_28,438,superiortemporal_3,,,,,,
717,postcentral_2,439,superiortemporal_4,,,,,,
718,postcentral_14,440,superiortemporal_5,,,,,,
719,postcentral_24,441,superiortemporal_6,,,,,,
720,postcentral_18,442,superiortemporal_7,,,,,,
721,postcentral_25,443,superiortemporal_8,,,,,,
722,postcentral_16,444,superiortemporal_9,,,,,,
723,postcentral_21,445,superiortemporal_10,,,,,,
724,postcentral_22,446,superiortemporal_11,,,,,,
725,postcentral_29,447,transversetemporal_1,,,,,,
726,postcentral_30,448,transversetemporal_2,,,,,,
727,postcentral_13,449,insula_1,,,,,,
728,postcentral_4,450,insula_2,,,,,,
729,postcentral_17,451,insula_3,,,,,,
730,postcentral_8,452,insula_4,,,,,,
731,postcentral_31,453,insula_5,,,,,,
732,postcentral_3,454,insula_6,,,,,,
733,postcentral_1,455,insula_7,,,,,,
734,postcentral_9,456,thalamusproper,,,,,,
735,postcentral_26,457,caudate,,,,,,
736,postcentral_27,458,putamen,,,,,,
737,postcentral_12,459,pallidum,,,,,,
738,postcentral_10,460,accumbensarea,,,,,,
739,postcentral_20,461,hyppocampus,,,,,,
740,postcentral_15,462,amygdala,,,,,,
741,postcentral_11,463,brainstem,,,,,,
742,postcentral_19,,,,,,,,
743,postcentral_5,,,,,,,,
744,postcentral_7,,,,,,,,
745,supramarginal_1,,,,,,,,
746,supramarginal_7,,,,,,,,
747,supramarginal_5,,,,,,,,
748,supramarginal_14,,,,,,,,
749,supramarginal_13,,,,,,,,
750,supramarginal_2,,,,,,,,
751,supramarginal_3,,,,,,,,
752,supramarginal_12,,,,,,,,
753,supramarginal_6,,,,,,,,
754,supramarginal_11,,,,,,,,
755,supramarginal_17,,,,,,,,
756,supramarginal_4,,,,,,,,
757,supramarginal_16,,,,,,,,
758,supramarginal_15,,,,,,,,
759,supramarginal_19,,,,,,,,
760,supramarginal_8,,,,,,,,
761,supramarginal_10,,,,,,,,
762,supramarginal_9,,,,,,,,
763,supramarginal_20,,,,,,,,
764,supramarginal_21,,,,,,,,
765,supramarginal_18,,,,,,,,
766,superiorparietal_26,,,,,,,,
767,superiorparietal_24,,,,,,,,
768,superiorparietal_20,,,,,,,,
769,superiorparietal_27,,,,,,,,
770,superiorparietal_25,,,,,,,,
771,superiorparietal_13,,,,,,,,
772,superiorparietal_22,,,,,,,,
773,superiorparietal_8,,,,,,,,
774,superiorparietal_15,,,,,,,,
775,superiorparietal_12,,,,,,,,
776,superiorparietal_19,,,,,,,,
777,superiorparietal_21,,,,,,,,
778,superiorparietal_10,,,,,,,,
779,superiorparietal_16,,,,,,,,
780,superiorparietal_11,,,,,,,,
781,superiorparietal_18,,,,,,,,
782,superiorparietal_28,,,,,,,,
783,superiorparietal_14,,,,,,,,
784,superiorparietal_4,,,,,,,,
785,superiorparietal_6,,,,,,,,
786,superiorparietal_2,,,,,,,,
787,superiorparietal_5,,,,,,,,
788,superiorparietal_7,,,,,,,,
789,superiorparietal_3,,,,,,,,
790,superiorparietal_9,,,,,,,,
791,superiorparietal_1,,,,,,,,
792,superiorparietal_23,,,,,,,,
793,superiorparietal_17,,,,,,,,
794,superiorparietal_29,,,,,,,,
795,inferiorparietal_3,,,,,,,,
796,inferiorparietal_16,,,,,,,,
797,inferiorparietal_19,,,,,,,,
798,inferiorparietal_6,,,,,,,,
799,inferiorparietal_9,,,,,,,,
800,inferiorparietal_10,,,,,,,,
801,inferiorparietal_15,,,,,,,,
802,inferiorparietal_8,,,,,,,,
803,inferiorparietal_4,,,,,,,,
804,inferiorparietal_5,,,,,,,,
805,inferiorparietal_2,,,,,,,,
806,inferiorparietal_18,,,,,,,,
807,inferiorparietal_17,,,,,,,,
808,inferiorparietal_21,,,,,,,,
809,inferiorparietal_12,,,,,,,,
810,inferiorparietal_22,,,,,,,,
811,inferiorparietal_7,,,,,,,,
812,inferiorparietal_11,,,,,,,,
813,inferiorparietal_13,,,,,,,,
814,inferiorparietal_14,,,,,,,,
815,inferiorparietal_1,,,,,,,,
816,inferiorparietal_20,,,,,,,,
817,precuneus_14,,,,,,,,
818,precuneus_16,,,,,,,,
819,precuneus_1,,,,,,,,
820,precuneus_10,,,,,,,,
821,precuneus_8,,,,,,,,
822,precuneus_3,,,,,,,,
823,precuneus_20,,,,,,,,
824,precuneus_2,,,,,,,,
825,precuneus_4,,,,,,,,
826,precuneus_12,,,,,,,,
827,precuneus_13,,,,,,,,
828,precuneus_7,,,,,,,,
829,precuneus_17,,,,,,,,
830,precuneus_5,,,,,,,,
831,precuneus_22,,,,,,,,
832,precuneus_6,,,,,,,,
833,precuneus_11,,,,,,,,
834,precuneus_19,,,,,,,,
835,precuneus_21,,,,,,,,
836,precuneus_9,,,,,,,,
837,precuneus_15,,,,,,,,
838,precuneus_18,,,,,,,,
839,cuneus_5,,,,,,,,
840,cuneus_6,,,,,,,,
841,cuneus_1,,,,,,,,
842,cuneus_4,,,,,,,,
843,cuneus_2,,,,,,,,
844,cuneus_3,,,,,,,,
845,cuneus_7,,,,,,,,
846,pericalcarine_7,,,,,,,,
847,pericalcarine_1,,,,,,,,
848,pericalcarine_4,,,,,,,,
849,pericalcarine_2,,,,,,,,
850,pericalcarine_5,,,,,,,,
851,pericalcarine_3,,,,,,,,
852,pericalcarine_6,,,,,,,,
853,lateraloccipital_1,,,,,,,,
854,lateraloccipital_20,,,,,,,,
855,lateraloccipital_10,,,,,,,,
856,lateraloccipital_6,,,,,,,,
857,lateraloccipital_2,,,,,,,,
858,lateraloccipital_4,,,,,,,,
859,lateraloccipital_7,,,,,,,,
860,lateraloccipital_11,,,,,,,,
861,lateraloccipital_13,,,,,,,,
862,lateraloccipital_12,,,,,,,,
863,lateraloccipital_14,,,,,,,,
864,lateraloccipital_15,,,,,,,,
865,lateraloccipital_19,,,,,,,,
866,lateraloccipital_3,,,,,,,,
867,lateraloccipital_18,,,,,,,,
868,lateraloccipital_22,,,,,,,,
869,Lateraloccipital_21,,,,,,,,
870,lateraloccipital_23,,,,,,,,
871,lateraloccipital_5,,,,,,,,
872,lateraloccipital_17,,,,,,,,
873,lateraloccipital_16,,,,,,,,
874,lateraloccipital_9,,,,,,,,
875,lateraloccipital_8,,,,,,,,
876,lingual_14,,,,,,,,
877,lingual_11,,,,,,,,
878,lingual_3,,,,,,,,
879,lingual_4,,,,,,,,
880,lingual_16,,,,,,,,
881,lingual_1,,,,,,,,
882,lingual_8,,,,,,,,
883,lingual_10,,,,,,,,
884,lingual_6,,,,,,,,
885,lingual_9,,,,,,,,
886,lingual_13,,,,,,,,
887,lingual_5,,,,,,,,
888,lingual_2,,,,,,,,
889,lingual_15,,,,,,,,
890,lingual_12,,,,,,,,
891,lingual_17,,,,,,,,
892,lingual_7,,,,,,,,
893,fusiform_12,,,,,,,,
894,fusiform_7,,,,,,,,
895,fusiform_17,,,,,,,,
896,fusiform_15,,,,,,,,
897,fusiform_6,,,,,,,,
898,fusiform_5,,,,,,,,
899,fusiform_10,,,,,,,,
900,fusiform_1,,,,,,,,
901,fusiform_11,,,,,,,,
902,fusiform_4,,,,,,,,
903,fusiform_16,,,,,,,,
904,fusiform_2,,,,,,,,
905,fusiform_3,,,,,,,,
906,fusiform_8,,,,,,,,
907,fusiform_9,,,,,,,,
908,fusiform_14,,,,,,,,
909,fusiform_13,,,,,,,,
910,fusiform_18,,,,,,,,
911,parahippocampal_3,,,,,,,,
912,parahippocampal_6,,,,,,,,
913,parahippocampal_1,,,,,,,,
914,parahippocampal_4,,,,,,,,
915,parahippocampal_5,,,,,,,,
916,parahippocampal_2,,,,,,,,
917,entorhinal_2,,,,,,,,
918,entorhinal_1,,,,,,,,
919,entorhinal_3,,,,,,,,
920,temporalpole_2,,,,,,,,
921,temporalpole_1,,,,,,,,
922,temporalpole_3,,,,,,,,
923,inferiortemporal_15,,,,,,,,
924,inferiortemporal_11,,,,,,,,
925,inferiortemporal_6,,,,,,,,
926,inferiortemporal_2,,,,,,,,
927,inferiortemporal_5,,,,,,,,
928,inferiortemporal_8,,,,,,,,
929,inferiortemporal_14,,,,,,,,
930,inferiortemporal_13,,,,,,,,
931,inferiortemporal_4,,,,,,,,
932,inferiortemporal_1,,,,,,,,
933,inferiortemporal_9,,,,,,,,
934,inferiortemporal_3,,,,,,,,
935,inferiortemporal_10,,,,,,,,
936,inferiortemporal_12,,,,,,,,
937,inferiortemporal_16,,,,,,,,
938,inferiortemporal_7,,,,,,,,
939,middletemporal_6,,,,,,,,
940,middletemporal_16,,,,,,,,
941,middletemporal_10,,,,,,,,
942,middletemporal_7,,,,,,,,
943,middletemporal_3,,,,,,,,
944,middletemporal_1,,,,,,,,
945,middletemporal_13,,,,,,,,
946,middletemporal_8,,,,,,,,
947,middletemporal_14,,,,,,,,
948,middletemporal_5,,,,,,,,
949,middletemporal_11,,,,,,,,
950,middletemporal_9,,,,,,,,
951,middletemporal_15,,,,,,,,
952,middletemporal_2,,,,,,,,
953,middletemporal_4,,,,,,,,
954,middletemporal_12,,,,,,,,
955,bankssts_1,,,,,,,,
956,bankssts_3,,,,,,,,
957,bankssts_2,,,,,,,,
958,bankssts_6,,,,,,,,
959,bankssts_4,,,,,,,,
960,bankssts_5,,,,,,,,
961,superiortemporal_26,,,,,,,,
962,superiortemporal_20,,,,,,,,
963,superiortemporal_11,,,,,,,,
964,superiortemporal_4,,,,,,,,
965,superiortemporal_24,,,,,,,,
966,superiortemporal_18,,,,,,,,
967,superiortemporal_3,,,,,,,,
968,superiortemporal_21,,,,,,,,
969,superiortemporal_17,,,,,,,,
970,superiortemporal_25,,,,,,,,
971,superiortemporal_9,,,,,,,,
972,superiortemporal_19,,,,,,,,
973,superiortemporal_16,,,,,,,,
974,superiortemporal_6,,,,,,,,
975,superiortemporal_13,,,,,,,,
976,superiortemporal_8,,,,,,,,
977,superiortemporal_23,,,,,,,,
978,superiortemporal_15,,,,,,,,
979,superiortemporal_12,,,,,,,,
980,superiortemporal_5,,,,,,,,
981,superiortemporal_10,,,,,,,,
982,superiortemporal_1,,,,,,,,
983,superiortemporal_22,,,,,,,,
984,superiortemporal_14,,,,,,,,
985,superiortemporal_7,,,,,,,,
986,superiortemporal_2,,,,,,,,
987,transversetemporal_4,,,,,,,,
988,transversetemporal_1,,,,,,,,
989,transversetemporal_3,,,,,,,,
990,transversetemporal_2,,,,,,,,
991,insula_5,,,,,,,,
992,insula_2,,,,,,,,
993,insula_16,,,,,,,,
994,insula_12,,,,,,,,
995,insula_1,,,,,,,,
996,insula_8,,,,,,,,
997,insula_14,,,,,,,,
998,insula_10,,,,,,,,
999,insula_9,,,,,,,,
1000,insula_13,,,,,,,,
1001,insula_11,,,,,,,,
1002,insula_6,,,,,,,,
1003,insula_15,,,,,,,,
1004,insula_4,,,,,,,,
1005,insula_7,,,,,,,,
1006,insula_3,,,,,,,,
1007,insula_17,,,,,,,,
1008,thalamusproper,,,,,,,,
1009,caudate,,,,,,,,
1010,putamen,,,,,,,,
1011,pallidum,,,,,,,,
1012,accumbensarea,,,,,,,,
1013,hyppocampus,,,,,,,,
1014,amygdala,,,,,,,,
1015,brainstem,,,,,,,,
